rule_id,period,passed,actual,limit,excess,message_ru
CAPEX_2037,2035-2037,True,1790.0,1800.0,0.0,CAPEX до 2037-12: 1790 млн ≤ 1800 млн
CAPEX_2040,2035-2040,True,1790.0,2800.0,0.0,CAPEX до 2040-12: 1790 млн ≤ 2800 млн
BASE_TOTAL_SERVICE,2035,True,1.0,0.97,0.0,SL_total 2035: 1.0000 ≥ 0.97
BASE_CRITICAL_SERVICE,2035,True,1.0,0.99,0.0,SL_critical 2035: 1.0000 ≥ 0.99
RESERVE_45D,2035,True,65.0,12.328767,0.0,Резерв 45 дн. 2035: запас 01.01 = 65.00 т ≥ 12.33 т
BASE_TOTAL_SERVICE,2036,True,1.0,0.97,0.0,SL_total 2036: 1.0000 ≥ 0.97
BASE_CRITICAL_SERVICE,2036,True,1.0,0.99,0.0,SL_critical 2036: 1.0000 ≥ 0.99
RESERVE_45D,2036,True,23.076089,17.260274,0.0,Резерв 45 дн. 2036: запас 01.01 = 23.08 т ≥ 17.26 т
BASE_TOTAL_SERVICE,2037,True,1.0,0.97,0.0,SL_total 2037: 1.0000 ≥ 0.97
BASE_CRITICAL_SERVICE,2037,True,1.0,0.99,0.0,SL_critical 2037: 1.0000 ≥ 0.99
RESERVE_45D,2037,True,31.067228,23.424658,0.0,Резерв 45 дн. 2037: запас 01.01 = 31.07 т ≥ 23.42 т
BASE_TOTAL_SERVICE,2038,True,1.0,0.97,0.0,SL_total 2038: 1.0000 ≥ 0.97
BASE_CRITICAL_SERVICE,2038,True,1.0,0.99,0.0,SL_critical 2038: 1.0000 ≥ 0.99
RESERVE_45D,2038,True,37.243189,30.821918,0.0,Резерв 45 дн. 2038: запас 01.01 = 37.24 т ≥ 30.82 т
BASE_TOTAL_SERVICE,2039,True,1.0,0.97,0.0,SL_total 2039: 1.0000 ≥ 0.97
BASE_CRITICAL_SERVICE,2039,True,1.0,0.99,0.0,SL_critical 2039: 1.0000 ≥ 0.99
RESERVE_45D,2039,True,46.195982,39.452055,0.0,Резерв 45 дн. 2039: запас 01.01 = 46.20 т ≥ 39.45 т
BASE_TOTAL_SERVICE,2040,True,1.0,0.97,0.0,SL_total 2040: 1.0000 ≥ 0.97
BASE_CRITICAL_SERVICE,2040,True,1.0,0.99,0.0,SL_critical 2040: 1.0000 ≥ 0.99
RESERVE_45D,2040,True,54.754419,48.082192,0.0,Резерв 45 дн. 2040: запас 01.01 = 54.75 т ≥ 48.08 т
EMERGENCY_BASE_STREAK,2035-2040,True,0,2,0,Emergency как база: макс. серия 0 год(а) (лимит 2); базовые годы: нет
ISRU_DEADLINE,2036-06,True,0.0,0.0,0.0,Финансирование ISRU 2036-06: в срок (≤2037-12)
