period,i_start,delivered,throughput,losses,served_total,served_critical,demand_total,demand_critical,shortage,i_end,storage_mode,orders,arrivals
2035-01,65.0,0,65.0,2.925,8.333,6.667,8.333,6.667,0.0,53.742,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 9.17}",{}
2035-02,53.742,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,45.408,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 9.15}",{}
2035-03,45.408,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,37.075,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.33}",{}
2035-04,37.075,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,28.742,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.33}",{}
2035-05,28.742,9.167,9.167,0.412,8.333,6.667,8.333,6.667,0.0,29.162,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.75}","{""B"": 9.17}"
2035-06,29.162,9.147,9.147,0.412,8.333,6.667,8.333,6.667,0.0,29.565,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.74}","{""B"": 9.15}"
2035-07,29.565,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,29.19,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.71}","{""B"": 8.33}"
2035-08,29.19,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,28.815,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.71}","{""B"": 8.33}"
2035-09,28.815,8.746,8.746,0.394,8.333,6.667,8.333,6.667,0.0,28.834,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.76}","{""B"": 8.75}"
2035-10,28.834,8.745,8.745,0.394,8.333,6.667,8.333,6.667,0.0,28.852,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 0.39}","{""B"": 8.74}"
2035-11,28.852,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,28.835,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 0.39}","{""B"": 8.71}"
2035-12,28.835,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,28.818,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 0.39}","{""B"": 8.71}"
2036-01,28.818,20.429,20.429,0.919,11.667,8.75,11.667,8.75,0.0,36.661,BASE,"{""C"": 10.83, ""A"": 15.83, ""B"": 0.92}","{""A"": 11.67, ""B"": 8.76}"
2036-02,36.661,12.06,12.06,0.543,11.667,8.75,11.667,8.75,0.0,36.512,BASE,"{""C"": 10.83, ""A"": 4.76, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-03,36.512,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,36.361,BASE,"{""C"": 10.83, ""A"": 5.0, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-04,36.361,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,36.211,BASE,"{""C"": 10.83, ""A"": 5.0, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-05,36.211,12.586,12.586,0.566,11.667,8.75,11.667,8.75,0.0,36.564,BASE,"{""C"": 10.83, ""A"": 5.02, ""B"": 0.57}","{""A"": 11.67, ""B"": 0.92}"
2036-06,36.564,12.209,12.209,0.549,11.667,8.75,11.667,8.75,0.0,36.557,BASE,"{""C"": 10.83, ""A"": 4.98, ""B"": 0.55}","{""A"": 11.67, ""B"": 0.54}"
2036-07,36.557,12.209,12.209,0.147,11.667,8.75,11.667,8.75,0.0,36.953,ZBO,"{""C"": 10.83, ""A"": 4.07}","{""A"": 11.67, ""B"": 0.54}"
2036-08,36.953,12.209,12.209,0.147,11.667,8.75,11.667,8.75,0.0,37.349,ZBO,"{""C"": 10.83, ""A"": 5.15}","{""A"": 11.67, ""B"": 0.54}"
2036-09,37.349,12.233,12.233,0.147,11.667,8.75,11.667,8.75,0.0,37.769,ZBO,"{""C"": 10.83, ""A"": 5.15}","{""A"": 11.67, ""B"": 0.57}"
2036-10,37.769,12.216,12.216,0.147,11.667,8.75,11.667,8.75,0.0,38.171,ZBO,"{""C"": 10.83, ""A"": 5.15}","{""A"": 11.67, ""B"": 0.55}"
2036-11,38.171,11.667,11.667,0.14,11.667,8.75,11.667,8.75,0.0,38.031,ZBO,"{""C"": 10.83, ""A"": 5.14}","{""A"": 11.67}"
2036-12,38.031,11.667,11.667,0.14,11.667,8.75,11.667,8.75,0.0,37.891,ZBO,"{""C"": 10.83, ""A"": 5.14}","{""A"": 11.67}"
2037-01,37.891,26.667,26.667,0.32,15.833,11.25,15.833,11.25,0.0,48.405,ZBO,"{""C"": 10.83, ""A"": 11.89, ""B"": 0.1}","{""C"": 10.83, ""A"": 15.83}"
2037-02,48.405,15.593,15.593,0.187,15.833,11.25,15.833,11.25,0.0,47.978,ZBO,"{""C"": 10.83, ""A"": 10.09, ""B"": 0.2}","{""C"": 10.83, ""A"": 4.76}"
2037-03,47.978,15.833,15.833,0.19,15.833,11.25,15.833,11.25,0.0,47.787,ZBO,"{""C"": 10.83, ""A"": 9.99, ""B"": 1.12}","{""C"": 10.83, ""A"": 5.0}"
