period,i_start,delivered,throughput,losses,served_total,served_critical,demand_total,demand_critical,shortage,i_end,storage_mode,orders,arrivals
2035-01,65.0,0,65.0,2.925,8.333,6.667,8.333,6.667,0.0,53.742,BASE,"{""C"": 10.83, ""A"": 15.83, ""B"": 4.23}",{}
2035-02,53.742,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,45.408,BASE,"{""C"": 10.83, ""A"": 15.83, ""B"": 8.33}",{}
2035-03,45.408,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,37.075,BASE,"{""C"": 10.83, ""A"": 15.83, ""B"": 8.33}",{}
2035-04,37.075,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,28.742,BASE,"{""C"": 10.83, ""A"": 15.83, ""B"": 8.33}",{}
2035-05,28.742,4.227,4.227,0.19,8.333,6.667,8.333,6.667,0.0,24.445,BASE,"{""C"": 10.83, ""A"": 15.83, ""B"": 8.52}","{""B"": 4.23}"
2035-06,24.445,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,24.07,BASE,"{""C"": 10.83, ""A"": 15.83, ""B"": 8.71}","{""B"": 8.33}"
2035-07,24.07,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,23.695,BASE,"{""C"": 10.83, ""A"": 10.02, ""B"": 8.71}","{""B"": 8.33}"
2035-08,23.695,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,23.32,BASE,"{""C"": 10.83, ""A"": 3.33, ""B"": 8.71}","{""B"": 8.33}"
2035-09,23.32,8.524,8.524,0.384,8.333,6.667,8.333,6.667,0.0,23.127,BASE,"{""C"": 10.83, ""A"": 3.34, ""B"": 2.53}","{""B"": 8.52}"
2035-10,23.127,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.11,BASE,"{""C"": 10.83, ""A"": 9.53}","{""B"": 8.71}"
2035-11,23.11,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.093,BASE,"{""C"": 10.83, ""A"": 12.06}","{""B"": 8.71}"
2035-12,23.093,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.076,BASE,"{""C"": 10.83, ""A"": 12.06}","{""B"": 8.71}"
2036-01,23.076,18.365,18.365,0.826,11.667,8.75,11.667,8.75,0.0,28.948,BASE,"{""C"": 10.83, ""A"": 15.83}","{""A"": 15.83, ""B"": 2.53}"
2036-02,28.948,15.833,15.833,0.713,11.667,8.75,11.667,8.75,0.0,32.402,BASE,"{""C"": 10.83, ""A"": 7.91}","{""A"": 15.83}"
2036-03,32.402,15.833,15.833,0.713,11.667,8.75,11.667,8.75,0.0,35.856,BASE,"{""C"": 10.83, ""A"": 5.71}","{""A"": 15.83}"
2036-04,35.856,15.833,15.833,0.713,11.667,8.75,11.667,8.75,0.0,39.31,BASE,"{""C"": 10.83, ""A"": 5.71}","{""A"": 15.83}"
2036-05,39.31,15.833,15.833,0.713,11.667,8.75,11.667,8.75,0.0,42.764,BASE,"{""C"": 10.83, ""A"": 5.71, ""B"": 2.32}","{""A"": 15.83}"
2036-06,42.764,15.833,15.833,0.713,11.667,8.75,11.667,8.75,0.0,46.218,BASE,"{""C"": 10.83, ""A"": 3.39, ""B"": 2.85}","{""A"": 15.83}"
2036-07,46.218,10.023,10.023,0.12,11.667,8.75,11.667,8.75,0.0,44.454,ZBO,"{""C"": 10.83, ""A"": 1.75}","{""A"": 10.02}"
2036-08,44.454,3.333,3.333,0.04,11.667,8.75,11.667,8.75,0.0,36.081,ZBO,"{""C"": 10.83, ""A"": 5.04}","{""A"": 3.33}"
2036-09,36.081,5.663,5.663,0.068,11.667,8.75,11.667,8.75,0.0,30.009,ZBO,"{""C"": 10.83, ""A"": 5.07, ""B"": 0.3}","{""A"": 3.34, ""B"": 2.32}"
2036-10,30.009,12.379,12.379,0.149,11.667,8.75,11.667,8.75,0.0,30.573,ZBO,"{""C"": 10.83, ""A"": 4.85}","{""A"": 9.53, ""B"": 2.85}"
2036-11,30.573,12.059,12.059,0.145,11.667,8.75,11.667,8.75,0.0,30.82,ZBO,"{""C"": 10.83, ""A"": 5.14}","{""A"": 12.06}"
